video_id,video_title,published_at,view_count,like_count,comment_count,duration_seconds
EzeeypMKx7o,Regular Expression Methods in Python,2023-07-25T12:00:19Z,21692,445,14,517.0
OISvlkfbntY,What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18T12:00:17Z,42697,1528,73,822.0
8dTpNajxaH0,Scraping Data from a Real Website | Web Scraping in Python,2023-07-11T12:00:07Z,660812,11723,465,1523.0
oreAsJTNcsA,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-07-06T17:20:05Z,236475,6621,120,4108.0
xjA1HjvmoMY,Find and Find_All | Web Scraping in Python,2023-07-04T12:00:49Z,90005,2284,42,730.0
LO7hzmoHEIE,500k Livestream!!,2023-06-28T17:11:25Z,6281,383,24,6232.0
bargNl2WeN4,BeautifulSoup + Requests | Web Scraping in Python,2023-06-27T12:00:28Z,216198,3781,77,418.0
q-kbzWjyPak,Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20T12:00:43Z,86339,2099,40,355.0
PExdWWcxmro,Best Places to Find Datasets for Your Projects,2023-06-13T12:00:16Z,221442,5477,98,464.0
Liv6eeb1VfE,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06T12:00:14Z,192368,4289,243,1933.0
fHK4nHbUtj0,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30T16:34:20Z,10267,363,20,5548.0
5l2d_Rv0odE,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29T12:00:07Z,320373,5961,165,443.0
bDhvCp3_lYw,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23T12:30:17Z,431637,10158,482,2317.0
IMU1V-JugKo,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16T16:18:56Z,59010,1880,52,4248.0
FpgkpjSyBOw,State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15T12:30:11Z,46575,1380,377,4352.0
6jtS3Hz19kc,Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12T12:15:00Z,33383,799,80,521.0
JpSMse3eVVg,Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09T11:30:06Z,95314,2086,47,1010.0
TPivN7tpdwc,Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02T12:06:33Z,151083,3240,83,1329.0
kky9MMydnOA,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27T16:32:02Z,10324,338,27,5944.0
2izXQUoXyjA,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25T11:30:01Z,65618,1250,59,481.0
zilfrWwbteQ,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18T16:18:50Z,39368,1078,31,4135.0
PJINexERxOs,Google Business Intelligence Professional Certification Review,2023-04-18T11:30:08Z,46648,1262,74,424.0
gTf2GLEhKgA,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10T11:30:21Z,159999,4522,411,695.0
VRmXto2YA2I,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04T11:30:10Z,121489,2925,135,665.0
6yNsc7JVPJE,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28T11:30:04Z,39757,1798,82,534.0
mBCG9J1TVTc,Indexes in Pandas | Python Pandas Tutorials,2023-03-21T11:30:30Z,76675,1718,52,682.0
WizLaDdsHUs,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14T11:30:10Z,234717,6361,252,1057.0
kB7FV-ijdqE,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07T12:30:30Z,123965,2558,69,709.0
dFA0E-6xT_M,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02T16:27:46Z,11212,392,33,5296.0
dUpyC40cF6Q,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28T12:30:18Z,251944,4083,118,1157.0
gs0FNQR0njI,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21T12:32:29Z,82168,1793,96,1011.0
C75TROiiEa0,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14T12:30:08Z,448946,8310,221,1867.0
rGx1QNdYzvs,FREE Data Analyst Bootcamp!!,2023-02-07T12:30:11Z,2048556,48526,1851,412.0
CUBfrdDwznQ,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31T12:30:06Z,1365577,44553,1354,839.0
L-QnW_BZT3c,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25T17:14:49Z,17809,632,23,4217.0
S76iS03nGis,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24T12:30:13Z,41517,1477,121,769.0
RBEgsEVO3T8,Reviewing Maven Analytics Free Portfolio Website,2023-01-17T12:30:08Z,28719,836,49,1356.0
gCG07l6Fu-U,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16T17:25:08Z,46628,1356,36,4650.0
DXwFsxCtukg,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10T12:30:03Z,65461,3024,222,752.0
ey1VNjU0YbM,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03T12:30:12Z,102004,2067,91,863.0
0MKcCHrTo0c,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27T13:00:00Z,12087,324,13,564.0
bVJfQAe-UP4,Why I Quit my 125k Analytics Job,2022-12-20T12:00:33Z,158196,8710,858,463.0
_2OknmkngkQ,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17T14:16:05Z,5110,166,15,4968.0
B63bN2cLVLM,Converting Data Types in Python | Python for Beginners,2022-12-13T12:00:06Z,60433,1577,40,396.0
zvzjaqMBEso,Functions in Python | Python for Beginners,2022-12-06T12:00:36Z,98008,2133,43,764.0
ECduJk00mUU,While Loops in Python | Python for Beginners,2022-11-29T12:00:07Z,95023,2278,36,340.0
zmIdC0_0BgY,For Loops in Python | Python for Beginners,2022-11-22T12:00:48Z,87249,1921,34,557.0
eP8-mo5jRrY,Data Analyst Q/A Livestream | November Livestream,2022-11-16T02:06:22Z,6311,199,18,3737.0
-BOBedcjySI,If Else Statements in Python | Python for Beginners,2022-11-15T12:00:00Z,73324,1769,32,400.0
lPVke-p4S7s,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08T12:00:35Z,73604,1815,22,435.0
ppsCxnNm-JI,Data Types in Python | Python for Beginners,2022-11-01T11:00:37Z,172072,3789,86,1318.0
rVhHGPDzEck,Data Analyst Q/A Livestream | October Livestream,2022-10-31T01:22:29Z,5745,181,11,4498.0
pHOH7UfOhbE,Variables in Python | Python for Beginners,2022-10-25T11:00:27Z,160561,3331,80,797.0
sXHIIW3Wt84,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19T10:56:23Z,5278,243,21,5064.0
WUeBzT43JyY,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18T11:00:30Z,522744,7459,203,603.0
DVs9u15htXU,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13T11:00:07Z,9674,333,21,1326.0
zW3qJUeJLWc,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11T11:00:42Z,7653,335,31,1466.0
m1AkWK_ODLM,When Best Friends Work Together (ft. Luke Barousse),2022-10-04T10:30:09Z,16246,693,84,335.0
Pfq-8pGzgg4,Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01T01:48:31Z,6794,212,8,5588.0
pixlHHe_lNQ,Full Power BI Guided Project | Microsoft Power BI for Beginners,2022-09-27T10:30:19Z,554011,10193,538,2557.0
3NV5Jtbhfcw,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,2022-09-20T10:30:00Z,169868,3524,76,854.0
1cfrQLoJMPI,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",2022-09-13T10:30:00Z,60355,2176,96,501.0
9j_EBt3RNrs,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,2022-09-06T10:30:02Z,142037,2965,58,571.0
m0h3Ghl6mgY,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,2022-08-30T10:30:10Z,234573,3494,67,594.0
50D__p6jdEI,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,2022-08-24T16:15:29Z,77579,2069,78,4249.0
tRCGGlMI19M,Interviewing Ken Jee | The Face of Data Science on YouTube,2022-08-23T10:30:19Z,7413,257,15,1735.0
